,"Bronx County, New York","Kings County, New York",Label,"New York County, New York","Queens County, New York","Richmond County, New York / Estimate",race,year
59,637,4485,Food preparation and serving related occupations,1591,7147,467.0,Asian Alone,2019
60,597,1714,Building and grounds cleaning and maintenance occupations,362,5191,294.0,Asian Alone,2019
61,894,3106,Personal care and service occupations,1549,13621,847.0,Asian Alone,2019
62,2240,15140,Sales and office occupations:,10099,33607,2869.0,Asian Alone,2019
63,1146,8356,Sales and related occupations,4678,15683,1217.0,Asian Alone,2019
64,1094,6784,Office and administrative support occupations,5421,17924,1652.0,Asian Alone,2019
65,0,259,"Natural resources, construction, and maintenance occupations:",0,415,204.0,Asian Alone,2019
66,0,0,"Farming, fishing, and forestry occupations",0,0,0.0,Asian Alone,2019
67,0,160,Construction and extraction occupations,0,415,0.0,Asian Alone,2019
68,0,99,"Installation, maintenance, and repair occupations",0,0,204.0,Asian Alone,2019
69,606,3590,"Production, transportation, and material moving occupations:",796,6487,264.0,Asian Alone,2019
70,535,2350,Production occupations,586,4524,126.0,Asian Alone,2019
71,71,602,Transportation occupations,0,827,0.0,Asian Alone,2019
72,0,638,Material moving occupations,210,1136,138.0,Asian Alone,2019
